"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C3,C4","22uF","~","Capacitor_SMD_AKL:C_1206_3216Metric","3",""
"C2,C5,C6,C7,C10,C11,C13,C14","100nF","~","Capacitor_SMD_AKL:C_1206_3216Metric","8",""
"C8,C9","1uF","~","Capacitor_SMD_AKL:C_1206_3216Metric","2",""
"C12","33pF","~","Capacitor_SMD_AKL:C_1206_3216Metric","1",""
"D1","BAV99-7-F","https://www.diodes.com/assets/Datasheets/ds12007.pdf","SamacSys_Parts:SOT95P240X120-3N","1",""
"FB1,FB2,FB3","FerriteBead_Small","~","Inductor_SMD_AKL:L_1206_3216Metric","3",""
"IC1","MAX5395LATA+T","https://pdfserv.maximintegrated.com/en/ds/MAX5395.pdf","SamacSys_Parts:SON50P200X200X80-9N-D","1",""
"J1","Conn_Coaxial"," ~","ICTAMKY_V8:AMPHENOL_132357-11","1",""
"J2","Conn_02x20_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","1",""
"R1,R5,R7","110","~","Resistor_SMD_AKL:R_1206_3216Metric","3",""
"R2","10K","~","Resistor_SMD_AKL:R_1206_3216Metric","1",""
"R4,R6","220","~","Resistor_SMD_AKL:R_1206_3216Metric","2",""
"R8","56","~","Resistor_SMD_AKL:R_1206_3216Metric","1",""
"R9","1K","~","Resistor_SMD_AKL:R_1206_3216Metric","1",""
"U1","Pico","","ICTAMKY_V8:RPi_Pico_SMD","1",""
"U2","ADC08100CIMTCX/NOPB(TSSOP-24)","","Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm","1",""
"U3","MD0100N8-G","MD0100N8-G","Package_TO_SOT_SMD:SOT-89-3","1",""
"U4","LTC6228xS8","https://www.analog.com/media/en/technical-documentation/data-sheets/LTC6228-6229.pdf","Package_SO:SO-8_3.9x4.9mm_P1.27mm","1",""
